gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst
2024020001,2024-10-04,True,NJD,31,23,1,4,19,30,False,False,70,55,53,37
2024020002,2024-10-05,False,NJD,18,37,1,3,34,17,True,False,56,75,42,51
2024020012,2024-10-10,True,LAK,33,23,1,3,20,32,False,False,72,52,53,32
2024020025,2024-10-12,True,FLA,27,25,5,2,23,22,False,False,68,44,50,29
2024020057,2024-10-16,False,PIT,33,43,5,6,37,28,False,False,60,70,43,56
2024020067,2024-10-17,False,CBJ,24,25,4,6,19,20,True,False,47,52,38,34
2024020085,2024-10-19,False,CHI,22,37,4,2,35,18,False,False,49,65,35,45
2024020095,2024-10-22,True,DAL,25,30,4,2,28,21,False,False,66,62,38,43
2024020122,2024-10-26,True,DET,39,25,5,3,22,34,False,False,67,55,51,38
2024020140,2024-10-28,True,FLA,28,31,2,5,26,26,False,False,57,50,42,39
2024020169,2024-11-01,True,NYI,35,36,3,4,32,32,False,False,58,70,49,47
2024020179,2024-11-02,False,DET,32,23,1,2,21,31,True,False,73,55,51,39
2024020194,2024-11-05,True,OTT,34,38,5,1,37,29,False,False,57,67,46,55
2024020213,2024-11-07,False,NYR,22,26,6,1,25,16,False,False,50,55,27,42
2024020224,2024-11-09,True,CGY,19,26,3,2,24,17,False,False,55,61,35,45
2024020239,2024-11-11,True,MTL,18,23,5,7,16,13,False,False,44,48,31,32
2024020257,2024-11-14,True,STL,33,27,4,3,24,29,False,False,57,61,46,40
2024020278,2024-11-16,False,PHI,25,32,2,5,27,23,False,False,50,67,38,40
2024020305,2024-11-20,False,LAK,19,23,1,0,23,18,False,False,56,63,33,49
2024020317,2024-11-22,False,ANA,32,24,3,2,22,30,False,False,67,65,56,46
2024020331,2024-11-23,False,SJS,31,33,4,2,31,27,True,False,61,66,43,50
2024020347,2024-11-27,True,MIN,39,30,0,1,29,39,False,False,69,74,54,39
2024020364,2024-11-29,True,VAN,34,22,3,4,18,31,False,False,67,50,52,33
2024020383,2024-11-30,False,NYI,29,20,0,3,17,29,True,False,61,48,48,31
2024020397,2024-12-03,True,COL,30,41,4,5,36,26,False,False,58,77,44,63
2024020410,2024-12-05,True,WPG,30,31,2,3,28,28,False,False,62,65,46,45
2024020426,2024-12-07,True,UTA,25,28,2,5,23,23,False,False,58,60,41,40
2024020443,2024-12-09,True,DET,21,31,5,6,26,16,False,False,56,66,34,53
2024020457,2024-12-11,True,NYR,31,28,2,3,25,29,False,False,74,64,53,44
2024020480,2024-12-14,False,WSH,21,31,2,4,27,19,False,False,50,68,39,48
2024020490,2024-12-15,False,TOR,27,41,3,5,36,24,True,False,62,66,46,60
2024020497,2024-12-17,False,MTL,21,27,1,6,21,20,False,True,53,61,36,38
2024020521,2024-12-20,True,TOR,27,29,3,6,23,24,False,True,52,63,39,42
2024020531,2024-12-21,False,BOS,20,19,1,3,16,19,True,False,60,48,38,30
2024020552,2024-12-23,False,NYI,25,28,7,1,27,18,False,False,66,58,36,48
2024020558,2024-12-27,True,CHI,35,17,6,2,15,29,False,False,65,42,52,32
2024020582,2024-12-29,False,STL,16,37,4,2,35,12,False,False,46,56,22,50
2024020595,2024-12-31,False,DAL,23,33,2,4,29,21,False,False,54,65,36,54
2024020610,2025-01-02,False,COL,21,29,5,6,23,16,False,False,37,60,28,49
2024020630,2025-01-04,False,VGK,24,33,1,3,30,23,False,False,55,61,44,42
2024020637,2025-01-06,True,WSH,27,28,4,3,25,24,False,False,66,61,44,46
2024020654,2025-01-09,False,OTT,21,35,4,0,35,17,False,False,42,63,27,54
2024020670,2025-01-11,True,SEA,35,29,2,6,23,33,False,False,59,59,56,41
2024020705,2025-01-15,True,CAR,24,37,4,2,35,21,False,False,65,79,40,63
2024020720,2025-01-17,True,PIT,42,19,2,5,14,40,False,False,79,50,63,33
2024020742,2025-01-20,False,SEA,29,34,4,6,28,25,False,False,60,63,52,52
2024020755,2025-01-21,False,VAN,26,34,3,2,32,23,True,False,54,55,43,42
2024020767,2025-01-23,False,CGY,34,26,2,5,21,32,False,False,72,60,55,41
2024020777,2025-01-25,False,EDM,41,34,2,3,31,39,False,False,65,67,57,49
2024020799,2025-01-28,True,BOS,33,27,7,2,25,26,False,False,62,65,44,49
2024020822,2025-01-31,True,NSH,27,31,4,3,28,23,False,False,54,54,37,43
2024020835,2025-02-02,True,NJD,34,24,4,3,21,30,False,False,75,59,53,44
2024020846,2025-02-04,True,CBJ,21,29,3,2,27,18,False,False,55,64,36,42
2024020885,2025-02-08,False,NSH,29,23,4,6,17,25,False,False,65,59,50,33
2024020895,2025-02-22,True,NYR,33,28,8,2,26,25,False,False,61,58,42,45
2024020919,2025-02-25,True,ANA,37,18,3,2,16,34,False,False,77,50,64,31
2024020940,2025-02-27,False,CAR,15,37,2,5,32,13,False,True,51,69,30,59
