gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020020,2024-10-11,True,TBL,21,23,1,4,19,20,False,False
2024020050,2024-10-15,True,NJD,31,26,4,2,24,27,False,False
2024020072,2024-10-18,False,PIT,38,26,4,1,25,34,False,False
2024020084,2024-10-19,False,STL,40,19,3,4,15,37,True,False
2024020103,2024-10-22,False,EDM,33,35,3,2,33,30,False,False
2024020114,2024-10-24,False,CGY,43,32,4,2,30,39,False,False
2024020135,2024-10-26,False,SEA,39,19,4,1,18,35,False,False
2024020146,2024-10-28,False,VAN,32,27,4,3,24,28,False,False
2024020165,2024-10-31,True,BOS,37,15,8,2,13,29,False,False
2024020188,2024-11-03,True,WSH,45,21,4,2,19,41,False,False
2024020197,2024-11-05,True,PHI,35,16,6,4,12,29,False,False
2024020214,2024-11-07,True,PIT,18,36,5,1,35,13,False,False
2024020233,2024-11-09,False,COL,31,29,4,6,23,27,False,False
2024020244,2024-11-11,False,VGK,34,32,5,2,30,29,False,False
2024020254,2024-11-13,False,UTA,50,21,1,4,17,49,False,False
2024020280,2024-11-16,True,OTT,28,24,4,0,24,24,False,False
2024020284,2024-11-17,True,STL,24,30,4,1,29,20,True,False
2024020302,2024-11-20,False,PHI,37,19,4,1,18,33,False,False
2024020309,2024-11-21,False,NJD,22,21,2,4,17,20,True,False
2024020328,2024-11-23,False,CBJ,36,32,4,5,28,32,False,False
2024020339,2024-11-25,True,DAL,34,19,6,4,15,28,False,False
2024020349,2024-11-27,True,NYR,31,22,4,3,19,27,False,False
2024020367,2024-11-29,True,FLA,31,30,3,6,24,28,False,False
2024020377,2024-11-30,False,FLA,20,35,0,6,29,20,True,True
2024020401,2024-12-03,True,SEA,19,28,2,4,24,17,False,False
2024020415,2024-12-05,True,COL,35,19,5,3,16,30,False,False
2024020428,2024-12-07,False,NYI,31,25,3,4,21,28,False,False
2024020448,2024-12-10,True,SJS,28,23,3,2,21,25,False,False
2024020473,2024-12-13,True,OTT,32,22,0,3,19,32,False,False
2024020491,2024-12-15,True,CBJ,28,28,4,1,27,24,False,False
2024020500,2024-12-17,True,NYI,29,32,4,0,32,25,False,False
2024020524,2024-12-20,False,WSH,25,22,1,3,19,24,False,False
2024020539,2024-12-22,False,NYR,33,23,3,1,22,30,False,False
2024020553,2024-12-23,False,NSH,27,25,2,5,20,25,True,False
2024020560,2024-12-27,False,NJD,31,23,2,4,19,29,False,False
2024020573,2024-12-28,True,NJD,41,23,5,2,21,36,True,False
2024020594,2024-12-31,False,CBJ,35,28,3,4,25,32,False,False
2024020603,2025-01-02,False,FLA,40,26,3,1,25,37,False,False
2024020624,2025-01-04,True,MIN,21,27,0,4,23,21,False,False
2024020634,2025-01-05,True,PIT,31,19,4,3,16,27,True,False
2024020029,2025-01-07,False,TBL,31,33,2,3,30,29,False,False
2024020659,2025-01-09,True,TOR,34,33,6,3,30,28,False,False
2024020666,2025-01-10,True,VAN,20,14,2,0,14,18,True,False
2024020687,2025-01-12,True,ANA,37,20,2,3,17,35,False,False
2024020705,2025-01-15,False,BUF,37,24,2,4,21,35,False,False
2024020721,2025-01-17,True,VGK,28,31,3,2,29,25,False,False
2024020746,2025-01-20,False,CHI,48,25,4,3,22,44,False,False
2024020753,2025-01-21,False,DAL,19,23,2,1,22,17,True,False
2024020764,2025-01-23,True,CBJ,43,22,7,4,18,36,False,False
2024020785,2025-01-25,False,NYI,27,27,2,3,24,25,False,False
2024020802,2025-01-28,False,NYR,26,22,4,0,22,22,False,False
2024020817,2025-01-30,True,CHI,27,20,3,2,18,24,False,False
2024020832,2025-02-01,True,LAK,28,26,2,4,22,26,False,False
2024020852,2025-02-04,False,WPG,29,30,0,3,27,29,False,False
2024020867,2025-02-06,False,MIN,38,24,1,2,22,37,False,False
2024020878,2025-02-08,True,UTA,38,39,7,3,36,31,False,False
2024020900,2025-02-22,False,TOR,34,23,3,6,18,31,False,False
2024020920,2025-02-25,False,MTL,20,18,0,4,14,20,False,False
2024020940,,True,BUF,0,0,0,0,0,0,False,False
