gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst
2024020018,2024-10-10,False,MIN,33,26,2,3,23,31,False,False,56,53,46,35
2024020034,2024-10-12,False,COL,23,30,6,4,26,17,False,False,52,66,33,49
2024020051,2024-10-15,True,FLA,38,22,3,4,18,35,False,False,73,46,58,30
2024020067,2024-10-17,True,BUF,25,24,6,4,20,19,False,False,52,47,34,38
2024020083,2024-10-19,True,MIN,24,34,1,3,31,23,False,False,50,69,37,48
2024020097,2024-10-22,True,TOR,38,28,6,2,26,32,False,False,70,59,54,42
2024020131,2024-10-26,False,NSH,28,33,3,4,29,25,False,False,55,67,39,51
2024020142,2024-10-28,True,EDM,25,32,6,1,31,19,False,False,52,59,38,49
2024020155,2024-10-30,True,NYI,26,26,2,0,26,24,False,False,60,67,40,52
2024020171,2024-11-01,True,WPG,22,44,2,6,38,20,False,False,47,70,32,58
2024020177,2024-11-02,False,WSH,36,22,2,7,15,34,True,False,67,66,55,33
2024020204,2024-11-05,False,SJS,50,27,1,2,25,49,False,False,83,56,68,39
2024020234,2024-11-09,False,LAK,26,23,2,5,18,24,False,False,50,62,37,38
2024020238,2024-11-10,False,ANA,40,30,2,4,26,38,True,False,80,65,58,43
2024020251,2024-11-12,False,SEA,40,33,2,5,28,38,False,False,74,62,59,46
2024020267,2024-11-15,True,PIT,39,23,6,2,21,33,False,False,82,66,53,44
2024020275,2024-11-16,False,MTL,26,30,1,5,25,25,True,False,49,53,36,35
2024020288,2024-11-18,False,BOS,28,29,5,1,28,23,False,False,56,54,35,43
2024020311,2024-11-21,True,TBL,43,30,7,6,24,36,False,False,80,72,56,39
2024020328,2024-11-23,True,CAR,32,36,5,4,32,28,False,False,63,65,43,53
2024020355,2024-11-27,True,MTL,24,23,3,4,19,21,False,False,56,58,38,41
2024020368,2024-11-29,True,CGY,34,29,5,2,27,29,False,False,64,51,43,39
2024020390,2024-12-01,False,CHI,36,31,6,3,28,30,False,False,57,48,46,37
2024020404,2024-12-03,False,CGY,16,22,0,3,19,16,False,False,53,58,32,44
2024020418,2024-12-05,False,EDM,22,36,3,6,30,19,False,False,50,64,31,47
2024020422,2024-12-06,False,VAN,32,17,2,5,12,30,True,False,68,52,56,33
2024020439,2024-12-08,False,WPG,28,25,4,1,24,24,False,False,67,62,42,44
2024020449,2024-12-10,True,PHI,18,25,3,5,20,15,False,False,46,57,29,41
2024020463,2024-12-12,True,WSH,33,37,1,2,35,32,False,False,61,72,45,57
2024020481,2024-12-14,True,ANA,42,27,3,4,23,39,False,False,67,66,49,40
2024020491,2024-12-15,False,CAR,28,28,1,4,24,27,True,False,53,60,36,49
2024020498,2024-12-17,False,TBL,32,33,3,5,28,29,False,False,50,68,42,44
2024020514,2024-12-19,True,NJD,20,42,4,2,40,16,False,False,59,81,33,69
2024020535,2024-12-21,False,PHI,25,30,4,5,25,21,False,False,58,56,33,45
2024020551,2024-12-23,True,MTL,32,31,5,4,27,27,False,False,59,65,44,50
2024020561,2024-12-27,True,BOS,33,26,6,2,24,27,False,False,71,53,52,35
2024020570,2024-12-28,False,BOS,18,28,0,4,24,18,True,False,41,55,36,39
2024020594,2024-12-31,True,CAR,28,35,4,3,32,25,False,False,59,71,39,57
2024020606,2025-01-02,True,DET,25,26,4,5,21,21,False,False,58,46,36,30
2024020625,2025-01-04,True,STL,39,33,6,4,29,33,False,False,75,64,49,44
2024020645,2025-01-07,False,PIT,29,23,4,3,20,26,False,False,66,55,42,41
2024020660,2025-01-09,True,SEA,24,31,6,2,29,18,False,False,56,67,30,52
2024020677,2025-01-11,False,STL,30,32,2,1,31,28,False,False,65,60,41,45
2024020698,2025-01-14,True,PHI,28,25,3,2,23,26,False,False,53,62,40,45
2024020711,2025-01-16,True,SJS,34,19,4,1,18,30,False,False,69,51,45,32
2024020728,2025-01-18,False,NYR,27,26,0,1,26,27,False,False,56,57,38,45
2024020745,2025-01-20,False,NYI,26,25,1,3,22,25,False,False,63,57,37,39
2024020757,2025-01-22,False,TOR,19,29,5,1,28,14,False,False,54,62,29,48
2024020764,2025-01-23,False,CAR,22,43,4,7,36,18,True,False,51,71,30,63
2024020782,2025-01-25,True,LAK,24,33,3,2,31,21,False,False,58,65,35,50
2024020820,2025-01-30,False,VGK,24,26,2,1,25,22,False,False,49,55,35,43
2024020825,2025-01-31,False,UTA,23,34,3,2,32,20,True,False,50,85,29,61
2024020840,2025-02-02,False,DAL,30,39,3,5,34,27,False,False,66,70,49,53
2024020846,2025-02-04,False,BUF,29,21,2,3,18,27,False,False,64,55,42,36
2024020865,2025-02-06,True,UTA,22,33,2,3,30,20,False,False,56,77,39,56
2024020882,2025-02-08,True,NYR,25,40,3,4,36,22,False,False,53,75,37,55
2024020902,2025-02-22,True,CHI,21,28,5,1,27,16,False,False,47,47,33,38
2024020924,2025-02-25,True,DAL,29,23,6,4,19,23,False,False,66,55,42,38
2024020935,2025-02-27,False,DET,30,31,5,2,29,25,False,False,71,53,61,44
