gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020008,2024-10-09,True,WPG,30,20,0,6,14,30,False,True
2024020036,2024-10-12,True,CHI,38,20,2,5,15,36,False,False
2024020040,2024-10-13,True,CGY,26,29,1,4,25,25,True,False
2024020056,2024-10-15,True,PHI,31,30,4,3,27,27,False,False
2024020069,2024-10-17,False,NSH,36,27,4,2,25,32,False,False
2024020077,2024-10-19,False,DAL,31,24,1,4,20,30,False,False
2024020103,2024-10-22,True,CAR,35,33,2,3,30,33,False,False
2024020121,2024-10-25,True,PIT,50,27,4,0,27,46,False,False
2024020136,2024-10-27,False,DET,34,26,3,2,24,31,False,False
2024020142,2024-10-28,False,CBJ,32,25,1,6,19,31,True,False
2024020166,2024-10-31,False,NSH,29,27,5,1,26,24,False,False
2024020190,2024-11-03,False,CGY,31,31,4,2,29,27,False,False
2024020193,2024-11-04,True,NJD,31,16,0,3,13,31,True,False
2024020207,2024-11-06,True,VGK,29,35,2,4,31,27,False,False
2024020235,2024-11-09,False,VAN,31,20,7,3,17,24,False,False
2024020249,2024-11-12,True,NYI,42,22,4,3,19,38,False,False
2024020264,2024-11-14,True,NSH,34,22,3,2,20,31,False,False
2024020274,2024-11-16,False,TOR,30,22,3,4,18,27,False,False
2024020290,2024-11-18,False,MTL,30,25,0,3,22,30,False,False
2024020294,2024-11-19,False,OTT,31,29,5,2,27,26,True,False
2024020315,2024-11-21,True,MIN,31,26,3,5,21,28,False,False
2024020332,2024-11-23,True,NYR,40,34,6,2,32,34,False,False
2024020375,2024-11-29,False,UTA,32,31,4,3,28,28,False,False
2024020385,2024-11-30,False,COL,32,28,4,1,27,28,True,False
2024020405,2024-12-03,False,VGK,28,16,0,1,15,28,False,False
2024020418,2024-12-05,True,CBJ,36,22,6,3,19,30,False,False
2024020435,2024-12-07,True,STL,21,31,4,2,29,17,False,False
2024020453,2024-12-10,True,TBL,25,22,2,1,21,24,False,False
2024020467,2024-12-12,False,MIN,35,30,7,1,29,28,False,False
2024020477,2024-12-14,True,VGK,34,42,6,3,39,28,False,False
2024020495,2024-12-16,True,FLA,30,28,5,6,22,25,False,False
2024020518,2024-12-19,True,BOS,26,26,3,2,24,23,False,False
2024020530,2024-12-21,True,SJS,42,22,3,2,20,39,False,False
2024020544,2024-12-22,True,OTT,21,21,3,1,20,18,True,False
2024020569,2024-12-28,False,LAK,27,29,3,4,25,24,False,False
2024020578,2024-12-29,False,ANA,23,32,3,5,27,20,True,False
2024020601,2024-12-31,True,UTA,38,27,4,1,26,34,False,False
2024020618,2025-01-03,True,ANA,26,29,3,2,27,23,False,False
2024020631,2025-01-04,False,SEA,32,18,4,2,16,28,True,False
2024020641,2025-01-07,False,BOS,39,26,4,0,26,35,False,False
2024020658,2025-01-09,False,PIT,43,26,3,5,21,40,False,False
2024020676,2025-01-11,False,CHI,34,22,4,3,19,30,False,False
2024020691,2025-01-13,True,LAK,30,30,1,0,30,29,False,False
2024020706,2025-01-15,False,MIN,36,34,5,3,31,31,False,False
2024020718,2025-01-16,False,COL,28,25,4,3,22,24,True,False
2024020735,2025-01-18,False,VAN,15,27,2,3,24,13,False,False
2024020754,2025-01-21,True,WSH,32,14,2,3,11,30,False,False
2024020768,2025-01-23,True,VAN,34,26,6,2,24,28,False,False
2024020777,2025-01-25,True,BUF,34,41,3,2,39,31,False,False
2024020797,2025-01-27,True,SEA,31,28,4,2,26,27,False,False
2024020819,2025-01-30,True,DET,47,35,2,3,33,45,False,False
2024020833,2025-02-01,True,TOR,48,28,3,4,24,45,False,False
2024020851,2025-02-04,False,STL,39,22,3,2,20,36,False,False
2024020860,2025-02-05,False,CHI,38,32,4,3,29,34,True,False
2024020874,2025-02-07,True,COL,27,31,4,5,26,23,False,True
2024020892,2025-02-22,False,PHI,18,32,3,6,26,15,False,False
