gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2024020012,False,BUF,23,33,3,1,32,20,False
2024020024,False,BOS,34,26,1,2,24,33,False
2024020043,False,OTT,26,41,7,8,33,19,False
2024020058,False,TOR,34,26,2,6,20,32,False
2024020061,False,MTL,32,27,4,1,26,28,True
2024020090,False,ANA,36,14,4,1,13,32,False
2024020107,False,VGK,35,30,1,6,24,34,False
2024020117,True,SJS,30,26,3,2,24,27,False
2024020124,True,UTA,23,26,3,2,24,20,False
2024020154,False,SJS,28,21,2,4,17,26,False
2024020160,True,VGK,27,26,6,3,23,21,True
2024020176,True,CHI,40,21,3,4,18,37,False
2024020192,False,NSH,27,16,3,0,16,24,False
2024020200,False,MIN,28,24,5,1,23,23,True
2024020218,True,VAN,28,23,2,4,20,26,False
2024020234,True,CBJ,23,26,5,2,24,18,False
2024020242,False,CGY,29,28,1,3,25,28,False
2024020255,False,COL,15,26,2,4,22,13,False
2024020282,True,DET,41,18,4,1,17,37,False
2024020305,True,BUF,23,19,0,1,18,23,False
2024020320,True,SEA,21,20,2,1,19,19,False
2024020344,False,SJS,24,21,2,7,14,22,False
2024020359,True,WPG,33,14,4,1,13,29,False
2024020370,False,ANA,18,31,2,1,30,16,False
2024020382,True,OTT,27,22,5,2,20,22,True
2024020409,True,DAL,17,28,3,2,26,14,False
2024020434,True,MIN,34,23,4,1,22,30,False
2024020450,False,NYI,30,20,3,1,19,27,False
2024020461,False,NJD,14,26,1,3,23,13,False
2024020475,False,NYR,32,32,5,1,31,27,False
2024020499,False,PIT,31,31,2,3,28,29,False
2024020513,False,PHI,27,26,7,3,23,20,False
2024020528,False,NSH,24,26,2,3,23,22,False
2024020541,False,WSH,26,21,1,3,18,25,True
2024020569,True,EDM,29,27,4,3,24,25,False
2024020585,True,PHI,20,21,5,4,17,15,True
2024020602,True,NJD,24,33,3,0,33,21,False
2024020629,True,TBL,21,34,2,1,33,19,False
2024020667,False,WPG,23,19,2,1,18,21,False
2024020681,False,CGY,32,18,1,2,16,31,True
2024020691,False,EDM,30,30,0,1,29,30,False
2024020719,False,VAN,21,21,5,1,20,16,False
2024020736,False,SEA,30,22,2,4,18,28,False
2024020748,True,PIT,26,32,1,5,28,25,False
2024020760,True,FLA,28,28,2,1,27,26,False
2024020782,False,CBJ,33,24,2,3,21,31,False
2024020794,False,DET,25,28,2,5,23,24,False
2024020808,False,FLA,29,39,0,3,36,29,False
2024020815,False,TBL,28,33,0,3,30,28,True
2024020832,False,CAR,26,28,4,2,26,22,False
2024020861,True,MTL,37,21,6,3,18,31,False
