gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020001,2024-10-04,False,BUF,23,31,4,1,30,19,False,False
2024020002,2024-10-05,True,BUF,37,18,3,1,17,34,True,False
2024020015,2024-10-10,True,TOR,23,22,2,4,18,21,False,False
2024020031,2024-10-12,False,WSH,33,32,5,3,29,28,False,False
2024020044,2024-10-14,True,UTA,32,20,3,0,20,29,False,False
2024020050,2024-10-15,False,CAR,26,31,2,4,27,24,True,False
2024020062,2024-10-17,False,OTT,35,31,3,1,30,32,False,False
2024020080,2024-10-19,True,WSH,31,37,5,6,31,26,False,False
2024020094,2024-10-22,True,TBL,35,37,5,8,29,30,False,False
2024020111,2024-10-24,False,DET,40,20,3,5,15,37,False,False
2024020119,2024-10-25,True,NYI,36,30,3,4,26,33,True,False
2024020137,2024-10-27,True,ANA,34,26,6,2,24,28,False,False
2024020159,2024-10-30,False,VAN,22,20,6,0,20,16,False,False
2024020173,2024-11-01,False,CGY,22,32,0,3,29,22,False,False
2024020193,2024-11-04,False,EDM,16,31,3,0,31,13,False,False
2024020212,2024-11-07,True,MTL,27,24,5,3,21,22,False,False
2024020231,2024-11-09,False,NYI,33,22,4,3,19,29,False,False
2024020236,2024-11-10,True,SJS,44,27,0,1,26,44,True,False
2024020246,2024-11-12,False,FLA,24,35,4,1,34,20,False,False
2024020260,2024-11-14,False,FLA,29,27,6,2,25,23,False,False
2024020276,2024-11-16,False,TBL,29,26,0,4,23,29,False,False
2024020309,2024-11-21,True,CAR,21,22,4,2,20,17,False,False
2024020327,2024-11-23,False,WSH,33,25,3,2,24,30,False,False
2024020336,2024-11-25,True,NSH,46,22,5,2,20,41,False,False
2024020348,2024-11-27,True,STL,32,20,0,3,17,32,False,False
2024020365,2024-11-29,False,DET,29,28,5,4,24,24,False,False
2024020379,2024-11-30,True,WSH,27,32,5,6,26,22,True,False
2024020393,2024-12-02,False,NYR,28,39,5,1,38,23,False,False
2024020420,2024-12-06,True,SEA,36,19,3,2,17,33,False,False
2024020440,2024-12-08,True,COL,25,24,0,4,20,25,False,False
2024020446,2024-12-10,True,TOR,39,17,1,2,15,38,False,False
2024020461,2024-12-12,True,LAK,26,14,3,1,13,23,False,False
2024020474,2024-12-14,True,CHI,24,17,4,1,16,20,False,False
2024020501,2024-12-17,False,STL,28,20,4,1,19,24,False,False
2024020514,2024-12-19,False,CBJ,42,20,2,4,16,40,False,False
2024020534,2024-12-21,True,PIT,27,12,3,0,12,24,False,False
2024020545,2024-12-23,True,NYR,30,12,5,0,12,25,False,False
2024020560,2024-12-27,True,CAR,23,31,4,2,29,19,False,False
2024020573,2024-12-28,False,CAR,23,41,2,5,36,21,True,False
2024020598,2024-12-31,False,ANA,34,26,2,3,23,32,False,False
2024020602,2025-01-01,False,LAK,33,24,0,3,21,33,True,False
2024020622,2025-01-04,False,SJS,30,24,2,3,21,28,False,False
2024020640,2025-01-06,False,SEA,29,24,3,2,22,26,False,False
2024020656,2025-01-09,False,NYR,23,32,2,3,29,21,False,False
2024020674,2025-01-11,True,TBL,26,25,3,2,23,23,False,False
2024020695,2025-01-14,True,FLA,27,28,1,2,27,26,False,False
2024020707,2025-01-16,False,TOR,24,41,3,4,37,21,False,False
2024020722,2025-01-18,True,PHI,13,18,1,3,15,12,False,False
2024020737,2025-01-19,True,OTT,26,20,1,2,18,25,True,False
2024020758,2025-01-22,True,BOS,34,23,5,1,22,29,False,True
2024020779,2025-01-25,False,MTL,44,32,4,3,29,40,False,False
2024020795,2025-01-27,False,PHI,33,26,2,4,22,31,False,False
2024020809,2025-01-29,True,PHI,26,24,5,0,24,21,False,False
2024020835,2025-02-02,False,BUF,24,34,3,4,30,21,False,True
2024020848,2025-02-04,False,PIT,21,27,3,2,25,19,False,False
2024020863,2025-02-06,True,VGK,15,40,1,3,37,14,False,False
2024020876,2025-02-08,False,MTL,22,34,4,0,34,18,False,False
2024020897,2025-02-22,True,DAL,33,26,2,4,22,31,False,False
