gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020006,2024-10-09,False,MTL,48,27,0,1,26,48,False,False
2024020015,2024-10-10,False,NJD,22,23,4,2,21,18,True,False
2024020026,2024-10-12,True,PIT,33,23,4,2,21,29,False,False
2024020058,2024-10-16,True,LAK,26,34,6,2,32,20,False,False
2024020079,2024-10-19,True,NYR,35,29,1,4,25,34,False,False
2024020091,2024-10-21,True,TBL,29,34,5,2,32,24,False,False
2024020097,2024-10-22,False,CBJ,28,38,2,6,32,26,True,False
2024020110,2024-10-24,True,STL,41,27,1,5,22,40,False,False
2024020125,2024-10-26,False,BOS,23,34,3,4,30,20,False,False
2024020143,2024-10-28,False,WPG,36,23,6,4,19,30,False,False
2024020161,2024-10-31,True,SEA,30,25,4,1,24,26,False,False
2024020181,2024-11-02,False,STL,37,24,2,4,20,35,False,False
2024020189,2024-11-03,False,MIN,28,33,1,2,31,27,True,False
2024020195,2024-11-05,True,BOS,27,29,4,0,29,23,False,False
2024020220,2024-11-08,True,DET,20,22,3,1,21,17,False,False
2024020227,2024-11-09,True,MTL,27,21,4,1,20,23,True,False
2024020245,2024-11-12,True,OTT,27,41,0,3,38,27,False,False
2024020253,2024-11-13,False,WSH,34,27,4,3,24,30,True,False
2024020274,2024-11-16,True,EDM,22,30,4,3,27,18,False,False
2024020301,2024-11-20,True,VGK,26,31,3,0,31,23,False,False
2024020333,2024-11-24,True,UTA,35,26,3,2,24,32,False,False
2024020352,2024-11-27,False,FLA,24,24,1,5,19,23,False,False
2024020378,2024-11-30,False,TBL,29,41,5,3,38,24,False,False
2024020394,2024-12-02,True,CHI,22,28,4,1,27,18,False,False
2024020406,2024-12-04,True,NSH,28,24,3,2,22,25,False,False
2024020419,2024-12-06,True,WSH,21,26,1,3,23,20,False,False
2024020433,2024-12-07,False,PIT,27,29,2,5,24,25,True,False
2024020446,2024-12-10,False,NJD,17,39,2,1,38,15,False,False
2024020459,2024-12-12,True,ANA,33,28,3,2,26,30,False,True
2024020479,2024-12-14,False,DET,25,26,2,4,22,23,False,False
2024020490,2024-12-15,True,BUF,41,27,5,3,24,36,True,False
2024020508,2024-12-18,False,DAL,19,39,5,3,36,14,False,False
2024020521,2024-12-20,False,BUF,29,27,6,3,24,23,False,False
2024020532,2024-12-21,True,NYI,29,34,3,6,28,26,True,False
2024020546,2024-12-23,True,WPG,25,27,2,5,22,23,False,False
2024020559,2024-12-27,False,DET,23,25,5,2,23,18,False,False
2024020571,2024-12-28,True,WSH,37,32,2,5,27,35,True,False
2024020590,2024-12-31,True,NYI,25,31,3,1,30,22,False,False
2024020607,2025-01-02,False,NYI,31,33,2,1,32,29,False,False
2024020623,2025-01-04,True,BOS,29,31,6,4,27,23,False,False
2024020635,2025-01-05,True,PHI,25,32,3,2,30,22,True,False
2024020644,2025-01-07,False,PHI,17,32,3,2,30,14,False,False
2024020659,2025-01-09,False,CAR,33,34,3,6,28,30,False,False
2024020672,2025-01-11,True,VAN,20,18,0,3,16,20,False,False
2024020693,2025-01-14,True,DAL,28,23,1,4,19,27,False,False
2024020707,2025-01-16,True,NJD,41,24,4,3,21,37,False,False
2024020726,2025-01-18,False,MTL,34,35,7,3,32,27,False,False
2024020744,2025-01-20,True,TBL,28,30,5,3,27,23,False,False
2024020757,2025-01-22,True,CBJ,29,19,1,5,14,28,False,False
2024020780,2025-01-25,False,OTT,29,23,1,2,21,28,False,False
2024020807,2025-01-29,True,MIN,33,25,1,3,22,32,False,False
2024020833,2025-02-01,False,EDM,28,48,4,3,45,24,False,False
2024020853,2025-02-04,False,CGY,30,26,6,3,23,24,False,False
2024020869,2025-02-06,False,SEA,30,27,3,1,26,27,False,False
2024020884,2025-02-08,False,VAN,28,25,1,2,23,27,False,False
