gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst
2024020031,2024-10-12,True,NJD,32,33,3,5,28,29,False,False,59,56,41,40
2024020049,2024-10-15,True,VGK,22,26,4,2,24,18,False,False,54,56,38,39
2024020066,2024-10-17,True,DAL,26,24,3,2,22,23,False,False,65,51,36,36
2024020080,2024-10-19,False,NJD,37,31,6,5,26,31,False,False,65,59,49,44
2024020092,2024-10-22,False,PHI,29,18,4,1,17,25,False,False,60,42,43,28
2024020108,2024-10-23,True,PHI,25,29,6,3,26,19,True,False,62,47,41,34
2024020127,2024-10-26,False,TBL,32,21,0,3,18,32,False,False,63,56,46,34
2024020151,2024-10-29,True,NYR,46,19,5,3,16,41,False,False,81,52,70,39
2024020164,2024-10-31,True,MTL,34,15,6,3,12,28,False,False,83,52,58,26
2024020177,2024-11-02,True,CBJ,22,36,7,2,34,15,False,False,66,67,33,55
2024020188,2024-11-03,False,CAR,21,45,2,4,41,19,True,False,49,72,31,61
2024020205,2024-11-06,True,NSH,36,35,3,2,33,33,False,False,71,78,51,58
2024020221,2024-11-08,True,PIT,34,32,2,4,28,32,False,False,69,66,50,45
2024020229,2024-11-09,False,STL,27,25,8,1,24,19,False,False,61,45,43,35
2024020253,2024-11-13,True,TOR,27,34,3,4,30,24,False,False,64,59,45,44
2024020268,2024-11-15,False,COL,20,19,5,2,17,15,False,False,49,60,31,41
2024020286,2024-11-17,False,VGK,25,42,5,2,40,20,False,False,63,82,45,61
2024020292,2024-11-18,False,UTA,24,26,6,2,24,18,True,False,50,57,29,47
2024020310,2024-11-21,True,COL,29,27,1,2,25,28,False,False,59,60,42,40
2024020327,2024-11-23,True,NJD,25,33,2,3,30,24,False,False,66,73,46,43
2024020335,2024-11-25,False,FLA,31,21,4,1,20,27,False,False,71,60,52,43
2024020351,2024-11-27,False,TBL,32,28,5,4,25,27,False,False,61,48,44,36
2024020366,2024-11-29,True,NYI,26,24,5,4,20,21,False,False,54,52,40,32
2024020379,2024-11-30,False,NJD,32,27,6,5,22,26,True,False,64,52,50,40
2024020400,2024-12-03,True,SJS,28,31,1,2,29,27,False,False,73,67,47,48
2024020419,2024-12-06,False,TOR,26,21,3,1,20,23,False,False,66,54,45,35
2024020430,2024-12-07,False,MTL,35,24,4,2,22,31,True,False,72,53,54,35
2024020463,2024-12-12,False,CBJ,37,33,2,1,32,35,False,False,72,61,57,45
2024020480,2024-12-14,True,BUF,31,21,4,2,19,27,False,False,68,50,48,39
2024020494,2024-12-16,False,DAL,26,24,1,3,21,25,False,False,60,47,44,32
2024020503,2024-12-17,False,CHI,22,23,2,3,20,20,True,False,50,51,34,35
2024020524,2024-12-20,True,CAR,22,25,3,1,24,19,False,False,59,62,32,49
2024020541,2024-12-22,True,LAK,21,26,3,1,25,18,False,False,42,52,28,37
2024020547,2024-12-23,False,BOS,11,22,1,4,18,10,True,False,37,53,24,36
2024020571,2024-12-28,False,TOR,32,37,5,2,35,27,False,False,69,66,50,53
2024020579,2024-12-29,False,DET,27,27,2,4,23,25,True,False,58,62,47,43
2024020589,2024-12-31,True,BOS,27,27,3,1,26,24,False,False,74,75,46,53
2024020605,2025-01-02,True,MIN,31,33,3,4,30,28,False,False,71,63,52,47
2024020620,2025-01-04,True,NYR,28,33,7,4,29,21,False,False,69,63,46,50
2024020637,2025-01-06,False,BUF,28,27,3,4,24,25,False,False,57,70,42,48
2024020650,2025-01-08,True,VAN,18,31,2,1,30,16,False,False,56,68,39,49
2024020665,2025-01-10,True,MTL,17,30,2,3,27,15,False,True,53,62,34,48
2024020679,2025-01-11,False,NSH,16,33,4,1,32,12,True,False,57,64,29,48
2024020697,2025-01-14,True,ANA,25,19,3,0,19,22,False,False,64,49,48,32
2024020708,2025-01-16,False,OTT,26,24,1,0,24,25,False,False,55,49,37,36
2024020729,2025-01-18,True,PIT,32,19,4,1,18,28,False,False,60,53,42,38
2024020754,2025-01-21,False,EDM,14,32,3,2,30,11,False,False,50,58,32,49
2024020770,2025-01-23,False,SEA,32,22,3,0,22,30,False,False,76,45,53,37
2024020786,2025-01-25,False,VAN,33,25,1,2,23,32,False,False,67,61,50,41
2024020804,2025-01-28,False,CGY,23,33,3,1,32,20,False,False,61,59,37,47
2024020814,2025-01-30,False,OTT,35,34,4,5,29,31,False,False,50,59,44,42
2024020831,2025-02-01,True,WPG,29,30,4,5,25,25,False,False,54,64,40,46
2024020849,2025-02-04,True,FLA,26,33,6,3,30,20,False,False,50,65,31,51
2024020864,2025-02-06,False,PHI,18,22,4,3,19,14,False,False,41,51,26,38
2024020890,2025-02-09,True,UTA,42,27,4,5,23,38,False,False,67,63,52,48
2024020893,2025-02-22,False,PIT,30,32,8,3,29,22,False,False,71,71,48,51
2024020906,2025-02-23,True,EDM,35,25,7,3,22,28,True,False,61,52,49,38
2024020923,2025-02-25,True,CGY,27,25,1,3,22,26,False,False,69,70,52,38
2024020939,2025-02-27,True,STL,18,19,2,5,14,16,False,False,44,46,34,29
